Date,Open,High,Low,Close,Adj Close,Volume
2023-05-17,7.030000,7.240000,6.930000,7.230000,7.230000,12650900
2023-05-18,7.170000,7.290000,7.110000,7.290000,7.290000,10090300
2023-05-19,7.280000,7.510000,7.130000,7.180000,7.180000,14343700
2023-05-22,7.200000,7.758000,7.070000,7.650000,7.650000,17459600
2023-05-23,7.521000,7.940000,7.500000,7.550000,7.550000,14970200
2023-05-24,7.460000,7.540000,7.300000,7.490000,7.490000,8218900
2023-05-25,7.460000,7.665000,7.380000,7.610000,7.610000,11171000
2023-05-26,7.590000,7.990000,7.520000,7.870000,7.870000,14426600
2023-05-30,7.950000,8.095000,7.630000,7.710000,7.710000,13986000
2023-05-31,7.670000,7.810000,7.490000,7.760000,7.760000,32478100
2023-06-01,6.780000,6.820000,6.200000,6.500000,6.500000,161052800
2023-06-02,6.550000,6.610000,6.390000,6.600000,6.600000,52308100
2023-06-05,6.590000,6.610000,6.330000,6.590000,6.590000,35903300
2023-06-06,6.550000,6.910000,6.533000,6.900000,6.900000,43033000
2023-06-07,6.900000,6.925000,6.400000,6.400000,6.400000,46769200
2023-06-08,6.630000,6.700000,6.260000,6.280000,6.280000,50228000
2023-06-09,6.350000,6.400000,6.130000,6.210000,6.210000,35792100
2023-06-12,6.310000,6.520000,6.230000,6.270000,6.270000,38486000
2023-06-13,6.370000,6.660000,6.230000,6.550000,6.550000,64473500
2023-06-14,6.610000,6.655000,6.340000,6.400000,6.400000,37444400
2023-06-15,6.390000,6.750000,6.330000,6.590000,6.590000,41955500
2023-06-16,6.610000,6.760000,6.440000,6.480000,6.480000,45045000
2023-06-20,6.530000,6.580000,6.260000,6.320000,6.320000,32733100
2023-06-21,6.300000,6.310000,6.000000,6.050000,6.050000,49954100
2023-06-22,6.070000,6.080000,5.720000,5.730000,5.730000,47898100
2023-06-23,5.650000,5.750000,5.460000,5.470000,5.470000,61875900
2023-06-26,6.010000,6.280000,5.550000,5.550000,5.550000,108379600
2023-06-27,5.790000,6.150000,5.560000,6.100000,6.100000,74181400
2023-06-28,6.090000,6.540000,6.030000,6.420000,6.420000,68546400
2023-06-29,6.475000,6.940000,6.410000,6.880000,6.880000,72430500
2023-06-30,7.020000,7.180000,6.640000,6.890000,6.890000,73121300
2023-07-03,7.060000,7.440000,7.000000,7.390000,7.390000,53572900
2023-07-05,7.410000,7.530000,7.150000,7.410000,7.410000,53370700
2023-07-06,7.220000,7.278500,6.870000,6.922000,6.922000,16324652
